Si. No. (Col. 1),Category,State/UT (Col. 2),Gain - (Col. 3),Personal Vendetta or Enmity - (Col. 4),Dowry - (Col. 5),Witchcraft - (Col. 6),Child/ Human Sacrifice - (Col. 7),Communal/ Religious - (Col. 8),Casteism - (Col. 9),Class Conflict - (Col. 10),For Political Reason - (Col. 11),Honour Killing - (Col. 12),Love Affairs - (Col. 13),Illicit Relationship - (Col. 14),Extremism/ Insurgency - (Col. 15),During Dacoity/ Robbery - (Col. 16),Gang Rivalry - (Col. 17),Psychopath/Serial Killers - (Col. 18),Sale of Body Parts - (Col. 19),Disputes - Property/ Land Dispute - (Col. 21),Disputes - Family Dispute - (Col. 22),Disputes - Petty Quarrel/ Dispute - (Col. 23),Disputes - Money Dispute - (Col. 24),Disputes - Water Dispute - (Col. 25),Disputes - Due to Accidents on Roads - (Col. 26),Blind Murder/No Clue/Motive Not Known - (Col. 27),Other Causes or Motive - (Col. 28),Year,Love/Lust,Loath,Unintentional,Greed
1,State,Andhra Pradesh,36,59,29,4,0,0,0,0,6,2,22,168,3,1,0,2,0,91,161,110,29,0,0,29,101,2020,192,335,29,192
2,State,Arunachal Pradesh,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,3,0,0,1,1,24,2020,4,16,1,0
3,State,Assam,31,187,33,0,0,0,0,0,0,0,15,16,1,1,0,2,0,162,97,57,21,0,8,31,469,2020,31,352,31,248
4,State,Bihar,528,599,151,4,0,6,2,7,16,2,170,115,0,10,1,0,0,815,277,33,107,39,3,220,45,2020,287,966,220,1628
5,State,Chhattisgarh,5,46,4,16,9,0,0,0,0,1,40,56,57,4,0,7,0,49,88,44,8,1,0,15,522,2020,97,243,15,70
6,State,Goa,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,7,3,0,0,2,1,2020,6,19,2,6
7,State,Gujarat,13,167,1,3,0,1,2,3,1,0,170,61,0,10,0,7,0,54,94,226,78,8,1,66,16,2020,231,509,66,157
8,State,Haryana,32,258,12,4,0,0,1,0,0,4,24,48,0,13,2,1,0,102,118,47,41,1,0,105,330,2020,76,426,105,202
9,State,Himachal Pradesh,5,16,1,0,0,0,0,0,0,0,5,8,1,1,0,0,0,8,23,8,5,0,1,2,7,2020,13,49,2,20
10,State,Jharkhand,559,269,56,15,1,0,1,0,7,4,62,36,8,3,5,0,0,152,77,5,51,0,2,113,166,2020,102,362,113,833
11,State,Karnataka,37,410,16,0,0,0,3,0,4,0,40,142,0,2,5,1,1,122,133,217,57,2,0,20,119,2020,182,766,20,244
12,State,Kerala,10,168,2,0,0,0,0,0,2,1,3,8,0,0,0,0,0,8,56,26,7,0,0,7,8,2020,12,250,7,29
13,State,Madhya Pradesh,30,425,55,17,0,0,2,3,0,3,147,151,2,12,3,2,0,212,341,202,59,4,1,112,318,2020,301,982,112,371
14,State,Maharashtra,61,236,24,3,0,0,0,0,3,0,116,183,6,0,0,0,0,184,322,257,180,11,0,79,498,2020,299,832,79,452
15,State,Manipur,0,6,1,0,0,0,0,0,0,0,1,1,6,1,0,0,0,2,4,1,0,0,13,4,6,2020,2,30,4,4
16,State,Meghalaya,6,8,0,2,0,1,0,0,1,0,2,0,0,4,0,0,0,0,3,1,0,0,2,49,0,2020,2,15,49,11
17,State,Mizoram,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,8,0,0,0,1,11,2020,4,11,1,1
18,State,Nagaland,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,9,2020,1,3,10,2
19,State,Odisha,180,129,284,14,1,0,0,0,1,0,59,0,1,0,0,0,0,113,274,97,1,1,0,0,315,2020,59,502,0,579
20,State,Punjab,16,58,6,0,0,0,0,2,1,4,15,77,1,18,0,1,0,60,133,118,28,4,0,78,137,2020,96,317,78,129
21,State,Rajasthan,22,68,67,1,0,0,0,1,0,0,66,42,0,6,2,0,0,116,148,108,60,11,0,44,957,2020,108,336,44,273
22,State,Sikkim,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2020,4,1,3,1
23,State,Tamil Nadu,64,276,5,0,0,1,3,1,5,0,54,195,1,0,0,4,0,145,359,379,69,1,0,24,75,2020,249,1025,24,288
24,State,Telangana,45,41,46,1,0,0,1,0,2,2,12,102,2,0,0,0,0,93,199,98,24,1,1,30,102,2020,116,343,30,210
25,State,Tripura,4,41,21,0,0,0,0,0,0,0,3,4,0,0,0,0,0,5,21,3,2,0,0,8,2,2020,7,65,8,32
26,State,Uttar Pradesh,89,308,52,4,0,0,9,0,1,0,351,111,0,4,46,3,0,642,344,449,128,32,8,108,1090,2020,462,1153,108,962
27,State,Uttarakhand,29,6,0,0,0,0,0,2,1,0,15,8,0,0,0,0,0,7,3,2,3,0,0,69,15,2020,23,13,69,40
28,State,West Bengal,58,114,303,0,0,0,0,0,3,0,16,19,0,3,0,0,0,31,125,0,8,0,0,7,1261,2020,35,239,7,406
29,Union Territories,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,2020,1,2,0,2
30,Union Territories,Chandigarh,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,1,0,0,0,5,0,2020,4,13,5,0
31,Union Territories,D & N Haveli and Daman & Diu,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,2,0,4,0,0,0,0,0,2020,6,5,0,2
32,Union Territories,Delhi,11,67,1,0,0,53,3,1,0,0,17,14,0,9,2,0,0,17,32,36,18,2,1,10,178,2020,31,195,10,58
33,Union Territories,Jammu & Kashmir,2,19,1,0,1,0,0,0,1,1,2,8,41,1,0,0,0,27,16,5,4,0,0,9,11,2020,11,81,9,36
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,0,0,0,0
36,Union Territories,Puducherry,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,9,0,0,0,0,2,2020,2,35,0,0
